id,liveness,loudness,analysis_url,valence,mode,speechiness,tempo,key,type,acousticness,time_signature,uri,energy,track_href,duration_ms,danceability,instrumentalness
0aVAhfHMrNW7Mh0xknvW4j,0.349,-5.281,https://api.spotify.com/v1/audio-analysis/0aVAhfHMrNW7Mh0xknvW4j,0.815,0,0.06,110.015,1,audio_features,0.417,4,spotify:track:0aVAhfHMrNW7Mh0xknvW4j,0.616,https://api.spotify.com/v1/tracks/0aVAhfHMrNW7Mh0xknvW4j,190453,0.795,0.0
6Euy9FOI8qtbekN57TQ861,0.179,-8.053,https://api.spotify.com/v1/audio-analysis/6Euy9FOI8qtbekN57TQ861,0.352,0,0.134,100.017,1,audio_features,0.621,4,spotify:track:6Euy9FOI8qtbekN57TQ861,0.563,https://api.spotify.com/v1/tracks/6Euy9FOI8qtbekN57TQ861,217707,0.728,0.0
1nbsSPnmRltNMw2Dstqrnw,0.104,-10.997,https://api.spotify.com/v1/audio-analysis/1nbsSPnmRltNMw2Dstqrnw,0.16,1,0.0618,100.042,1,audio_features,0.759,4,spotify:track:1nbsSPnmRltNMw2Dstqrnw,0.501,https://api.spotify.com/v1/tracks/1nbsSPnmRltNMw2Dstqrnw,212213,0.705,0.0761
36cqLXl2jfD4nMAfFKyuZ5,0.115,-5.353,https://api.spotify.com/v1/audio-analysis/36cqLXl2jfD4nMAfFKyuZ5,0.47,1,0.0344,91.024,1,audio_features,0.403,4,spotify:track:36cqLXl2jfD4nMAfFKyuZ5,0.613,https://api.spotify.com/v1/tracks/36cqLXl2jfD4nMAfFKyuZ5,194453,0.667,0.0
6oAUtgnsT5JifP2E1ceeJJ,0.197,-8.379,https://api.spotify.com/v1/audio-analysis/6oAUtgnsT5JifP2E1ceeJJ,0.23,0,0.0366,112.291,2,audio_features,0.364,3,spotify:track:6oAUtgnsT5JifP2E1ceeJJ,0.517,https://api.spotify.com/v1/tracks/6oAUtgnsT5JifP2E1ceeJJ,199133,0.696,0.0
2SoQaB0BbvLeG9kAKolPX3,0.0768,-7.126,https://api.spotify.com/v1/audio-analysis/2SoQaB0BbvLeG9kAKolPX3,0.494,0,0.297,112.039,6,audio_features,0.27,4,spotify:track:2SoQaB0BbvLeG9kAKolPX3,0.654,https://api.spotify.com/v1/tracks/2SoQaB0BbvLeG9kAKolPX3,210867,0.7,0.0
6pRlvElRLnDiJW4yazY9lh,0.0649,-7.503,https://api.spotify.com/v1/audio-analysis/6pRlvElRLnDiJW4yazY9lh,0.283,1,0.0815,80.025,10,audio_features,0.369,4,spotify:track:6pRlvElRLnDiJW4yazY9lh,0.481,https://api.spotify.com/v1/tracks/6pRlvElRLnDiJW4yazY9lh,229526,0.689,1.03e-06
4nNZ4ra9sJnsdixXELkfW5,0.155,-4.6,https://api.spotify.com/v1/audio-analysis/4nNZ4ra9sJnsdixXELkfW5,0.549,0,0.127,98.995,8,audio_features,0.177,4,spotify:track:4nNZ4ra9sJnsdixXELkfW5,0.86,https://api.spotify.com/v1/tracks/4nNZ4ra9sJnsdixXELkfW5,218667,0.61,0.0
3ZAbzT3EIBAM4pDB6pD8V6,0.108,-6.962,https://api.spotify.com/v1/audio-analysis/3ZAbzT3EIBAM4pDB6pD8V6,0.252,0,0.034,100.034,4,audio_features,0.838,4,spotify:track:3ZAbzT3EIBAM4pDB6pD8V6,0.329,https://api.spotify.com/v1/tracks/3ZAbzT3EIBAM4pDB6pD8V6,191360,0.775,0.0
5karshQq17aHtzkSr6Q3Kd,0.0602,-3.634,https://api.spotify.com/v1/audio-analysis/5karshQq17aHtzkSr6Q3Kd,0.486,1,0.0321,99.952,2,audio_features,0.21,4,spotify:track:5karshQq17aHtzkSr6Q3Kd,0.712,https://api.spotify.com/v1/tracks/5karshQq17aHtzkSr6Q3Kd,206467,0.698,0.0
